label,発生日時　　月,発生日時　　日,発生日時　　時,車道幅員,天候,地形,路面状態,道路形状,信号機
1,4,21,13,4,2,1,1,14,7
1,5,1,4,4,3,1,2,7,7
0,7,2,8,14,1,1,1,1,1
0,10,29,21,19,3,1,2,1,1
0,12,28,19,14,1,1,1,1,7
0,2,2,19,3,1,3,1,7,7
0,8,28,10,3,2,2,1,14,7
1,8,1,7,14,1,3,1,1,7
0,11,25,18,4,1,3,1,14,7
0,1,15,7,18,3,1,2,1,1
0,12,8,17,14,1,2,1,1,7
1,4,15,19,6,1,1,1,14,7
1,2,20,9,2,1,1,1,14,7
0,2,22,7,3,3,2,2,14,7
1,5,18,15,0,1,3,1,0,7
0,8,3,16,14,1,1,1,1,1
1,1,27,16,3,1,3,1,14,7
0,2,13,16,14,1,1,1,1,1
1,2,18,18,3,1,1,1,14,7
1,11,21,12,0,1,1,1,0,7
0,1,29,10,14,1,2,1,1,1
0,6,17,14,0,2,1,5,0,7
0,12,12,14,2,1,2,1,14,7
0,5,17,8,5,1,1,1,7,7
0,5,16,14,18,1,2,1,1,1
1,7,28,16,3,1,3,1,13,7
1,10,5,12,15,2,3,1,1,7
0,9,19,12,11,1,2,1,1,7
1,7,7,11,3,1,3,1,13,7
0,12,15,11,5,1,1,1,7,8
0,6,7,9,6,2,1,1,12,7
1,12,27,18,3,5,1,3,7,7
0,2,18,12,4,1,2,1,14,7
0,7,17,17,14,1,1,1,1,7
1,4,6,7,14,1,1,1,1,7
1,1,18,20,3,1,3,1,14,7
1,8,7,14,15,1,1,1,1,1
1,11,30,20,3,1,3,1,7,7
1,7,9,19,3,2,1,1,14,7
0,3,15,19,2,1,1,1,7,7
0,10,28,16,3,3,1,1,14,7
1,8,15,6,6,1,3,1,14,7
0,12,23,14,15,1,1,1,1,1
0,7,12,9,19,3,1,2,1,1
1,7,8,19,3,2,3,1,14,7
0,5,22,23,0,1,2,1,0,7
1,1,12,10,3,1,3,1,14,7
0,1,23,8,4,1,2,1,7,1
1,3,26,19,3,1,3,1,14,7
1,7,24,9,14,1,2,1,1,7
0,1,26,16,15,3,1,2,1,1
1,4,16,21,15,2,2,1,1,1
1,9,7,13,3,1,3,1,13,7
0,10,8,7,11,1,3,1,1,7
1,1,3,22,3,3,3,2,13,7
1,12,30,19,17,1,2,1,1,7
1,12,22,9,4,1,3,1,13,7
1,4,12,14,2,1,3,1,13,7
1,6,23,12,3,3,3,2,13,7
1,2,23,5,3,3,1,2,14,7
0,2,6,11,11,3,2,1,1,7
0,11,22,13,5,1,2,1,14,7
0,8,17,10,11,1,1,1,1,7
1,11,14,22,3,1,3,1,7,7
1,7,14,4,3,1,1,1,7,7
1,2,2,3,18,1,1,1,1,1
1,2,2,15,3,2,3,1,13,7
1,12,18,7,14,2,3,1,1,7
0,2,26,17,4,1,1,1,14,7
0,1,18,9,14,3,2,2,1,7
0,6,24,8,2,2,1,1,7,7
1,9,13,22,18,1,1,1,1,1
1,4,1,13,18,1,1,1,1,1
1,11,1,10,14,1,2,1,1,7
1,6,22,0,15,1,2,1,1,7
1,11,24,1,17,1,1,1,1,1
0,12,26,14,19,1,1,1,1,1
1,8,13,18,14,2,1,1,1,2
0,3,18,7,11,1,1,1,1,7
1,5,14,13,0,1,3,1,0,7
1,11,13,8,19,1,1,1,1,7
1,5,14,7,5,1,3,1,14,7
1,1,27,2,4,2,1,1,14,7
0,7,19,8,15,1,1,1,1,1
1,5,31,9,14,3,2,2,1,7
1,9,24,10,14,1,2,1,1,7
0,9,19,18,3,2,1,1,7,7
1,12,17,18,5,1,3,1,14,7
1,11,12,16,3,1,1,1,13,7
1,3,12,7,11,3,2,2,1,7
1,8,6,19,15,1,2,1,1,7
0,6,13,10,3,1,3,1,7,1
1,11,6,14,14,1,1,1,1,2
1,12,25,21,15,1,2,1,1,7
0,6,20,21,5,3,1,1,14,7
1,4,20,20,6,1,1,1,14,7
1,5,25,8,3,1,3,1,13,7
1,10,4,9,4,2,2,1,7,1
1,11,7,14,3,1,3,1,13,7
0,5,27,9,15,3,2,2,1,1
1,1,13,0,14,2,3,2,1,7
1,10,23,6,5,2,1,1,14,7
1,12,7,23,14,1,2,1,1,7
1,5,9,13,0,1,1,1,0,7
0,4,24,11,4,3,1,2,13,7
0,6,3,16,0,1,1,1,0,7
1,2,5,21,1,2,1,1,14,7
1,11,26,5,2,1,3,1,14,7
0,10,6,13,15,2,1,1,1,1
1,6,17,12,4,2,3,1,13,7
0,12,20,16,15,1,3,1,1,7
0,5,29,21,5,1,1,1,14,7
0,8,22,16,3,1,1,1,7,1
1,5,24,16,1,1,3,1,13,7
0,12,16,8,11,1,2,1,1,7
0,11,20,7,18,1,3,1,1,7
0,2,8,8,2,1,2,1,7,1
1,11,17,18,15,1,2,1,1,7
0,12,12,7,5,3,2,2,14,7
0,10,28,18,15,1,1,1,1,1
1,2,5,6,18,2,2,1,1,1
0,10,22,5,1,1,1,1,14,7
1,4,13,10,3,1,3,1,13,7
1,1,23,17,14,1,2,1,1,7
1,12,4,21,5,1,2,1,14,7
1,3,21,19,19,1,1,1,1,1
0,4,4,12,5,2,1,1,14,7
0,12,22,17,3,1,1,1,14,7
1,7,23,23,18,1,1,2,1,1
0,6,7,18,5,1,1,1,14,7
0,5,14,22,3,1,2,1,7,7
0,8,21,16,2,1,1,1,7,7
0,11,15,17,1,2,2,1,14,7
1,12,14,11,5,1,1,1,13,7
1,3,12,17,6,1,3,2,14,7
1,8,24,14,5,1,2,1,7,1
1,8,12,10,2,1,3,1,14,7
0,6,22,12,5,1,1,1,14,7
1,11,8,17,3,1,3,1,7,7
1,8,1,11,15,1,3,1,1,7
1,12,16,17,3,3,1,2,7,7
0,12,17,13,4,1,2,1,14,7
1,9,17,17,14,1,1,1,1,7
1,3,28,5,5,1,2,1,14,7
1,5,30,3,18,1,1,1,1,1
1,7,26,8,3,1,2,1,14,7
1,3,29,14,14,1,2,1,1,7
1,11,22,7,3,1,2,1,14,7
1,7,24,8,15,1,1,1,1,1
1,10,14,16,6,1,3,1,12,7
1,9,7,21,14,1,3,1,1,7
1,4,17,0,0,3,2,2,0,7
1,10,25,17,14,2,2,1,1,7
1,11,28,3,3,1,2,1,14,7
1,10,30,19,1,1,3,1,13,7
0,2,5,13,2,2,1,1,14,7
0,9,5,8,14,1,1,1,1,7
1,12,15,9,3,1,3,1,7,7
0,11,19,8,3,1,2,1,13,7
1,5,30,18,3,1,3,1,14,7
1,12,31,5,3,1,2,1,14,7
0,1,17,16,14,1,3,1,1,2
1,12,12,2,15,1,2,1,1,1
1,7,11,18,15,2,2,1,1,7
0,11,24,8,2,1,2,1,14,7
0,2,6,8,15,1,1,1,1,7
1,10,15,17,11,1,2,1,1,7
1,8,6,18,3,1,2,1,13,7
1,2,8,12,3,2,2,1,7,7
1,7,15,8,4,1,3,1,14,7
0,1,15,11,4,1,1,1,14,7
0,1,7,10,2,1,1,1,13,7
1,12,4,17,3,2,3,1,7,7
1,9,25,3,3,2,3,1,14,7
0,3,2,19,3,5,1,3,14,7
0,2,1,6,15,1,2,1,1,1
0,6,26,11,3,1,1,1,14,7
1,1,1,18,6,1,2,1,7,7
0,6,14,17,2,1,1,1,7,7
1,6,2,12,5,1,3,1,14,7
1,6,20,13,0,1,1,1,0,7
0,10,23,21,5,3,1,2,7,7
0,1,26,12,15,2,2,1,1,1
0,11,12,19,2,1,3,1,14,7
0,9,7,8,19,1,1,1,1,1
0,9,12,8,15,1,1,1,1,7
0,11,13,15,14,1,1,1,1,8
1,7,10,6,14,2,2,1,1,7
0,6,23,3,5,2,1,1,14,7
0,10,21,12,6,1,1,1,13,1
0,1,12,18,11,1,1,1,1,7
0,1,11,9,2,1,1,1,14,7
1,12,6,6,14,1,3,1,1,2
0,10,23,17,14,1,3,1,1,7
1,10,30,2,18,3,1,2,1,1
0,5,8,8,15,1,1,1,1,7
0,11,13,10,4,1,2,1,14,7
1,12,17,21,5,1,2,1,14,7
0,10,12,6,18,1,2,1,1,1
1,7,11,1,18,1,1,1,1,1
1,11,29,17,14,1,1,1,1,7
1,12,10,22,3,1,3,1,7,7
1,6,15,15,3,1,3,1,13,7
0,6,14,20,4,1,1,1,14,7
1,2,8,7,5,1,3,1,12,7
0,12,12,17,3,1,3,1,14,7
1,11,8,13,3,1,3,1,14,7
1,4,13,13,3,1,3,1,13,7
1,2,4,12,3,1,3,1,14,7
1,2,13,14,3,2,3,1,13,7
1,6,2,20,4,1,1,1,7,2
1,1,26,22,3,2,3,2,13,7
1,3,7,17,15,1,1,1,1,1
0,1,20,9,11,3,2,2,1,7
0,5,9,9,14,1,1,1,1,7
1,8,15,10,6,1,1,1,14,7
0,4,30,10,2,2,1,1,13,7
1,5,11,11,19,1,1,1,1,1
0,8,20,7,14,1,2,1,1,7
0,4,19,10,0,1,3,1,0,7
1,3,23,17,14,2,2,1,1,7
1,11,22,6,14,1,2,1,1,7
0,11,16,13,15,2,1,1,31,7
1,11,23,5,14,3,2,1,1,3
1,7,14,7,3,1,3,1,14,7
0,1,26,19,5,1,1,1,7,7
1,2,19,23,14,3,1,2,1,7
0,2,19,18,11,1,3,1,1,7
1,1,22,15,15,2,1,1,1,1
1,1,13,18,14,2,2,1,1,7
1,1,11,5,14,1,1,1,1,7
1,2,15,5,15,1,2,1,1,1
1,6,20,8,0,3,3,2,0,7
1,2,13,5,15,1,1,1,1,1
0,4,25,13,19,1,1,1,1,8
0,7,8,10,15,1,3,1,1,7
0,1,17,22,3,1,2,1,14,7
1,8,3,23,3,1,1,1,7,1
0,12,16,21,3,1,1,1,14,7
1,5,17,7,14,1,3,1,1,7
1,6,1,22,3,1,3,1,13,7
0,11,7,13,17,1,1,1,1,1
1,3,16,0,18,2,1,2,1,7
1,1,23,8,3,5,2,4,7,7
0,9,7,13,11,1,2,1,1,7
1,11,29,6,14,1,3,1,1,7
0,3,13,17,3,1,2,1,14,7
0,5,13,9,5,3,2,2,7,1
0,12,2,7,5,1,1,1,14,7
1,4,7,1,19,1,1,1,1,1
1,2,20,6,4,2,3,1,14,7
1,9,20,1,3,1,1,1,7,7
1,12,10,7,3,1,1,1,7,7
0,1,21,8,15,2,1,1,1,1
0,3,16,3,3,1,3,1,14,7
1,1,8,14,3,2,3,1,13,7
0,12,12,17,17,1,1,1,1,7
0,12,16,19,15,5,2,4,1,7
1,1,11,13,3,1,3,1,14,7
0,3,4,16,14,1,3,1,1,7
0,7,20,21,18,1,1,1,1,7
0,11,3,16,3,2,1,1,7,7
0,11,7,15,11,1,3,1,1,7
1,2,4,15,11,2,1,1,1,7
0,6,17,19,5,2,2,1,14,7
1,11,21,17,18,1,2,1,1,1
